country,city_count
Australia,16834
Papua New Guinea,626
New Zealand,601
Fiji,197
Solomon Islands,118
Vanuatu,77
Samoa,47
Kiribati,23
Federated States of Micronesia,6
Tonga,6
Marshall Islands,4
Palau,3
Nauru,1
Tuvalu,1
